Number,Name,Address,Latitude,Longitude
26,026 - VAN LINT,VAN LINT - RUE VAN LINT/ VAN LINTSTRAAT 6 - 8,50.839413,4.328914
47,047 - LES QUAIS / KAAIEN,LES QUAIS/KAAIEN - QUAI A LA CHAUX/KALKKAAI 1-2,50.854714,4.347151
295,295 - COIN DU BALAI,COIN DU BALAI - AV DE LA FORESTERIE,50.793682,4.418497
313,313 - DEMEY,DEMEY - INTERSECTION BD INVALIDENLAAN / AV LOUIS DEHOUXLAAN,50.814858,4.417184
61,061 - MAELBEEK / MAALBEEK,MAELBEEK/MAALBEEK - CHAUSSEE D'ETTERBEEK/ETTERBEEKSESTEENWEG 15,50.843836,4.378002
189,189 - PLACE VAN MEYEL/VAN MEYELPLEIN,PLACE VAN MEYEL/VAN MEYELPLEIN,50.836924,4.389073
54,054 - TOUR ET TAXIS/THURN &TAXIS,TOUR ET TAXIS/THURN &TAXIS - RUE PICARD/ PICARDSTRAAT 3,50.863445,4.34635
312,312 - CENTRE CULTUREL / CULTUREEL CENTRUM,CENTRE CULTUREL / CULTUREEL CENTRUM - BD DU SOUVERAIN FACE 282 / VORSTLAAN VOOR 282,50.816948,4.426551
287,287 - FLOREAL,FLOREAL - AV BRUGMANN 359 / BRUGMANNLAAN 359,50.809334,4.345243
239,239 - DARWIN,DARWIN - AV. BRUGMANN / BRUGMANNLAAN 139-147,50.817777,4.350406
205,205 - DE LINDE,DE LINDE - PLACE DE LINDE 22 / DE LINDEPLEIN 22,50.835503,4.299573
137,137 - MAISON COMMUNALE DE SCHAERBEEK,MAISON COMMUNALE DE SCHAERBEEK / SCHAARBEEK GEMEENTEHUIS - RUE ROYALE SAINTE MARIE/KONINKLIJKE SINTE-MARIASTRAAT 241-243-245,50.86661,4.373102
185,185 - PERE DE DEKEN/PATER DE DEKEN,PERE DE DEKEN/PATER DE DEKEN - RUE PÈRE DE DEKEN/ PATER DE DEKENSTRAAT 40,50.835797,4.401599
227,227 - PATINAGE,PATINAGE - RUE SAINT DENIS DEVANT 122,50.816695,4.319891
88,088 - WOESTE,WOESTE - AVENUE NOTRE DAME DE LOURDES / ONZE-LIEVE-VROUW VAN LOURDESLAAN,50.873354,4.334311
182,182 - BOILEAU,BOILEAU - BOULEVARD SAINT MICHEL / SINT-MICHIELSLAAN,50.83168,4.404769
220,220 - LUTHER KING,LUTHER KING - BD MAURICE CAREME 30 / MAURICE CAREMELAAN 30,50.824867,4.287059
142,142 - BIENFAITEURS/WELDOENERS,BIENFAITEURS/WELDOENERS - AVENUE ROGIER / ROGIERLAAN 269/271,50.857319,4.386724
96,096 - HOTEL PRESIDENT,HOTEL PRESIDENT/PRESIDENT HOTEL - BOULEVARD DU ROI ALBERT II/KONING ALBERT-II LAAN,50.863875,4.358708
119,119 - PAQUOT/PACQUOT,PAQUOT -  RUE JEAN PAQUOT (44 A 48) /JEAN PAQUOTSTRAAT (44 T.E.M 48),50.82559,4.379555
264,264 - NOTRE DAME/ONZE LIEVE VROUW,NOTRE DAME / ONZE LIEVE VROUW - AV NOTRE DAME 53 A 61 / ONZE LIEVE VROUWLAAN 53 TOT 61,50.870983,4.397506
